Company,Country,Continent,Laid_Off,Percentage,Industry,Stage,Year,Company_Size_before_Layoffs
Cake Bikes,Sweden,Europe,NA,100,Transportation,Unknown,2024,NA
Small Robot Computer,UK,Europe,NA,100,Food,Unknown,2024,NA
Twig,UK,Europe,NA,100,Finance,Unknown,2024,NA
Workfellow,Finland,Europe,NA,100,HR,Seed,2024,NA
Otovo,Norway,Europe,65,15,Energy,Post-IPO,2024,433
Popcore,Germany,Europe,NA,NA,Consumer,Acquired,2024,NA
Storytel,Sweden,Europe,80,13,Consumer,Post-IPO,2024,615
Farfetch,UK,Europe,2000,25,Retail,Acquired,2024,8000
Voi,Sweden,Europe,120,12,Transportation,Series D,2024,1000
Aptiv,Poland,Europe,250,NA,Transportation,Post-IPO,2024,NA
KnownOrigin,UK,Europe,NA,30,Crypto,Acquired,2024,NA
Tails.com,UK,Europe,55,25,Retail,Series A,2024,220
Kevin,Lithuania,Europe,NA,14,Finance,Series A,2024,NA
MessageBird,Netherlands,Europe,90,20,Other,Series C,2024,450
Epicery,France,Europe,NA,100,Food,Acquired,2024,NA
Trendsales,Denmark,Europe,79,100,Retail,Acquired,2024,79
Zoe,UK,Europe,NA,20,Healthcare,Series B,2024,NA
Criteo,France,Europe,140,4,Marketing,Unknown,2024,3500
Criteo,France,Europe,140,4,Marketing,Post-IPO,2024,3500
Glovo,Spain,Europe,25,NA,Food,Acquired,2024,NA
TikTok,Ireland,Europe,250,NA,Entertainment Providers,Acquired,2024,NA
Kwalee,UK,Europe,40,10,Gaming,Unknown,2024,400
Showpad,Belgium,Europe,50,10,Marketing,Series D,2024,500
Stability AI,UK,Europe,20,10,AI,Unknown,2024,200
Heureka Group,Czech Republic,Europe,100,16,Retail,Acquired,2024,625
Getir,UK,Europe,3300,NA,Food,Unknown,2024,NA
KeokeN,Netherlands,Europe,NA,100,Gaming,Unknown,2024,NA
RiseUp,UK,Europe,50,50,Fintech,Series B,2024,100
Cabify,Spain,Europe,29,NA,Transportation,Unknown,2024,NA
Hopin,UK,Europe,NA,NA,Other,Series D,2024,NA
CI Gaming,Poland,Europe,30,NA,Gaming,Unknown,2024,NA
Karhoo,UK,Europe,NA,100,Transportation,Acquired,2024,NA
Wefox,Germany,Europe,60,NA,Finance,Series D,2024,NA
Exscientia,UK,Europe,NA,25,Biotechnology Research,Unknown,2024,NA
Apeks,Norway,Europe,NA,NA,E-sport,Unknown,2024,NA
Funding Circle,UK,Europe,NA,NA,Finance,Post-IPO,2024,NA
Oda,Norway,Europe,150,NA,Food,Unknown,2024,NA
Ladenzeile,Germany,Europe,NA,100,Retail,Subsidiary,2024,NA
